Sr_no,movieid,userid,rating,title,genres,tag,sentiment
29,62336,59,0.5,FLCL (2000),Animation|Comedy|Fantasy|Sci-Fi,not coherent,worst
30,62336,59,0.5,FLCL (2000),Animation|Comedy|Fantasy|Sci-Fi,Not a movie,worst
31,108583,59,4.5,Fawlty Towers (1975-1979),Comedy,british,excellent
32,832,60,1,Ransom (1996),Crime|Thriller,It was melodramatic and kind of dumb,poor
33,3897,60,3.5,Almost Famous (2000),Drama,kind of slow,good
34,2231,63,5,Rounders (1998),Drama,poker,excellent
35,2231,63,5,Rounders (1998),Drama,Matt Damon,excellent
36,8784,63,4.5,Garden State (2004),Comedy|Drama|Romance,Natalie Portman,excellent
37,8784,63,4.5,Garden State (2004),Comedy|Drama|Romance,Great Soundtrack,excellent
38,30707,63,5,Million Dollar Baby (2004),Drama,Morgan Freeman,excellent
39,30707,63,5,Million Dollar Baby (2004),Drama,Clint Eastwood,excellent
40,44974,63,4,Hard Candy (2005),Drama|Thriller,suspenseful,excellent
41,44974,63,4,Hard Candy (2005),Drama|Thriller,disturbing,excellent
42,44974,63,4,Hard Candy (2005),Drama|Thriller,controversial,excellent
43,55247,63,4.5,Into the Wild (2007),Action|Adventure|Drama,self discovery,excellent
44,55247,63,4.5,Into the Wild (2007),Action|Adventure|Drama,great soundtrack,excellent
45,55247,63,4.5,Into the Wild (2007),Action|Adventure|Drama,based on a book,excellent
46,56788,63,4,Charlie Wilson's War (2007),Comedy|Drama|War,cold war,excellent
47,56788,63,4,Charlie Wilson's War (2007),Comedy|Drama|War,CIA,excellent
48,56788,63,4,Charlie Wilson's War (2007),Comedy|Drama|War,based on a true story,excellent
49,56788,63,4,Charlie Wilson's War (2007),Comedy|Drama|War,arms dealer,excellent
50,56788,63,4,Charlie Wilson's War (2007),Comedy|Drama|War,afghanistan,excellent
51,81562,63,4,127 Hours (2010),Adventure|Drama|Thriller,wilderness,excellent
52,81562,63,4,127 Hours (2010),Adventure|Drama|Thriller,true story,excellent
53,81562,63,4,127 Hours (2010),Adventure|Drama|Thriller,James Franco,excellent
54,81562,63,4,127 Hours (2010),Adventure|Drama|Thriller,danny boyle,excellent
55,81591,63,5,Black Swan (2010),Drama|Thriller,Natalie Portman,excellent
56,81932,63,4.5,Fighter, The (2010),Christian Bale,excellent
57,81932,63,4.5,Fighter, The (2010),boxing,excellent
58,81932,63,4.5,Fighter, The (2010),Amy Adams,excellent
59,82053,63,3,Casino Jack (2010),Comedy|Crime,true story,good
60,82053,63,3,Casino Jack (2010),Comedy|Crime,politics,good
61,82053,63,3,Casino Jack (2010),Comedy|Crime,corruption,good
62,82459,63,2.5,True Grit (2010),Western,Matt Damon,one time watch
63,86345,63,5,Louis C.K.: Hilarious (2010),Comedy,stand-up comedy,excellent
64,86377,63,4.5,Louis C.K.: Shameless (2007),Comedy,stand-up comedy,excellent
65,87096,63,2.5,Group Sex (2010),Comedy,therapy,one time watch
66,87096,63,2.5,Group Sex (2010),Comedy,strippers,one time watch
67,87096,63,2.5,Group Sex (2010),Comedy,Sex Addict,one time watch
68,82461,78,5,Tron: Legacy (2010),Action|Adventure|Sci-Fi|IMAX,visually interesting--that's about it,excellent
69,82461,78,5,Tron: Legacy (2010),Action|Adventure|Sci-Fi|IMAX,parent-children relationship,excellent
70,82461,78,5,Tron: Legacy (2010),Action|Adventure|Sci-Fi|IMAX,conspiracy theory,excellent
71,56949,84,3.5,27 Dresses (2008),Comedy|Romance,love story,good
72,56949,84,3.5,27 Dresses (2008),Comedy|Romance,James Marsden,good
73,56949,84,3.5,27 Dresses (2008),Comedy|Romance,full of stupid things,good
74,30820,88,4.5,Woodsman, The (2004),Disturbing and moving,excellent
75,84615,113,3,Cedar Rapids (2011),Comedy,mildly funny,good
76,84615,113,3,Cedar Rapids (2011),Comedy,crack use,good
77,84615,113,3,Cedar Rapids (2011),Comedy,adultery,good
78,29,128,2.5,City of Lost Children, The (Cité des enfants perdus,surreal,one time watch
79,29,128,2.5,City of Lost Children, The (Cité des enfants perdus,steampunk,one time watch
80,29,128,2.5,City of Lost Children, The (Cité des enfants perdus,dystopia,one time watch
81,29,128,2.5,City of Lost Children, The (Cité des enfants perdus,dreamlike,one time watch
82,29,128,2.5,City of Lost Children, The (Cité des enfants perdus,atmospheric,one time watch
83,34,128,3,Babe (1995),Children|Drama,overrated,good
84,69,128,4,Friday (1995),Comedy,stupid last comment,excellent
85,69,128,4,Friday (1995),Comedy,Ice Cube,excellent
86,69,128,4,Friday (1995),Comedy,Chris Tucker,excellent
87,81,128,3,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,sacrifice,good
88,81,128,3,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,revenge,good
89,81,128,3,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,organized crime,good
90,81,128,3,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,mobsters,good
91,81,128,3,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,hitman,good
92,81,128,3,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,hit,good
93,81,128,3,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,friendship,good
94,81,128,3,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,assassin,good
95,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,thieves,good
96,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,sweet,good
97,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,slow,good
98,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,quirky,good
99,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,off-beat comedy,good
100,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,motel,good
101,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,mental illness,good
102,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,love,good
103,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,heist,good
104,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,friendship,good
105,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,crime gone awry,good
106,101,128,3,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,crime,good
107,160,128,3,Congo (1995),Action|Adventure|Mystery|Sci-Fi,nostalgia,good
108,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,video games,one time watch
109,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,internet,one time watch
110,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,inaccurate,one time watch
111,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,high school,one time watch
112,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,hacking,one time watch
113,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,hackers,one time watch
114,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,hacker,one time watch
115,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,cyberpunk,one time watch
116,170,128,2,Hackers (1995),Action|Adventure|Crime|Thriller,cheesy,one time watch
117,180,128,3.5,Mallrats (1995),Comedy|Romance,Kevin Smith,good
118,180,128,3.5,Mallrats (1995),Comedy|Romance,Jay and Silent Bob,good
119,180,128,3.5,Mallrats (1995),Comedy|Romance,good dialogue,good
120,180,128,3.5,Mallrats (1995),Comedy|Romance,crude humor,good
121,180,128,3.5,Mallrats (1995),Comedy|Romance,1990s,good
122,185,128,2,Net, The (1995),unrealistic,one time watch
123,185,128,2,Net, The (1995),trojan,one time watch
124,185,128,2,Net, The (1995),stupid,one time watch
125,185,128,2,Net, The (1995),simplistic,one time watch
126,185,128,2,Net, The (1995),plot holes,one time watch
127,185,128,2,Net, The (1995),malware,one time watch
128,185,128,2,Net, The (1995),internet,one time watch
129,185,128,2,Net, The (1995),inaccurate,one time watch
130,185,128,2,Net, The (1995),hacking,one time watch
131,185,128,2,Net, The (1995),crime,one time watch
132,185,128,2,Net, The (1995),conspiracy,one time watch
133,185,128,2,Net, The (1995),computers,one time watch
134,198,128,2.5,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,virtual reality,one time watch
135,198,128,2.5,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,stupid,one time watch
136,198,128,2.5,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,sci-fi,one time watch
137,198,128,2.5,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,futuristic,one time watch
138,198,128,2.5,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,future,one time watch
139,198,128,2.5,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,characters,one time watch
140,223,128,3.5,Clerks (1994),Comedy,view askew,good
141,223,128,3.5,Clerks (1994),Comedy,surreal,good
142,223,128,3.5,Clerks (1994),Comedy,slackers,good
143,223,128,3.5,Clerks (1994),Comedy,jay and silent bob,good
144,223,128,3.5,Clerks (1994),Comedy,cynical,good
145,223,128,3.5,Clerks (1994),Comedy,crude humor,good
146,235,128,3,Ed Wood (1994),Comedy|Drama,true story,good
147,235,128,3,Ed Wood (1994),Comedy|Drama,quirky,good
148,235,128,3,Ed Wood (1994),Comedy|Drama,movie business,good
149,235,128,3,Ed Wood (1994),Comedy|Drama,cross dressing,good
150,235,128,3,Ed Wood (1994),Comedy|Drama,black and white,good
151,235,128,3,Ed Wood (1994),Comedy|Drama,Biography,good
152,318,128,5,Shawshank Redemption, The (1994),wrongful imprisonment,excellent
153,318,128,5,Shawshank Redemption, The (1994),Stephen King,excellent
154,318,128,5,Shawshank Redemption, The (1994),prison escape,excellent
155,318,128,5,Shawshank Redemption, The (1994),prison,excellent
156,318,128,5,Shawshank Redemption, The (1994),justice,excellent
157,318,128,5,Shawshank Redemption, The (1994),friendship,excellent
158,319,128,3,Shallow Grave (1994),Comedy|Drama|Thriller,disturbing,good
159,319,128,3,Shallow Grave (1994),Comedy|Drama|Thriller,cynical,good
160,319,128,3,Shallow Grave (1994),Comedy|Drama|Thriller,crime,good
161,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,thiller,good
162,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,revenge,good
163,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,organized crime,good
164,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,jack ryan,good
165,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Harrison Ford,good
166,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,drug cartels,good
167,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,conspiracy,good
168,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,cia,good
169,349,128,3.5,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,black ops,good
170,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,terrorism,one time watch
171,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,shallow plot,one time watch
172,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,ridiculous,one time watch
173,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,not ridiculous enough,one time watch
174,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,mundane characters,one time watch
175,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,Jamie Lee Curtis,one time watch
176,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,espionage,one time watch
177,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,Eliza Dushku,one time watch
178,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,Arnold Schwarzenegger,one time watch
179,380,128,2.5,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,action,one time watch
180,441,128,4,Dazed and Confused (1993),Comedy,wired 50 greatest soundtracks,excellent
181,441,128,4,Dazed and Confused (1993),Comedy,small town,excellent
182,441,128,4,Dazed and Confused (1993),Comedy,high school,excellent
183,481,128,3.5,Kalifornia (1993),Drama|Thriller,writing,good
184,481,128,3.5,Kalifornia (1993),Drama|Thriller,writer,good
185,481,128,3.5,Kalifornia (1993),Drama|Thriller,tense,good
186,481,128,3.5,Kalifornia (1993),Drama|Thriller,serial killer,good
187,481,128,3.5,Kalifornia (1993),Drama|Thriller,road trip,good
188,481,128,3.5,Kalifornia (1993),Drama|Thriller,photography,good
189,481,128,3.5,Kalifornia (1993),Drama|Thriller,disturbing,good
190,481,128,3.5,Kalifornia (1993),Drama|Thriller,atmospheric,good
191,555,128,3.5,True Romance (1993),Crime|Thriller,organized crime,good
192,555,128,3.5,True Romance (1993),Crime|Thriller,love,good
193,555,128,3.5,True Romance (1993),Crime|Thriller,drugs,good
194,555,128,3.5,True Romance (1993),Crime|Thriller,Christian Slater,good
195,555,128,3.5,True Romance (1993),Crime|Thriller,characters,good
196,555,128,3.5,True Romance (1993),Crime|Thriller,cast,good
197,555,128,3.5,True Romance (1993),Crime|Thriller,brutality,good
198,555,128,3.5,True Romance (1993),Crime|Thriller,brutal,good
199,565,128,3,Cronos (1993),Drama|Horror,vampire,good
200,565,128,3,Cronos (1993),Drama|Horror,slow,good
201,565,128,3,Cronos (1993),Drama|Horror,moody,good
202,565,128,3,Cronos (1993),Drama|Horror,clockwork devices,good
203,565,128,3,Cronos (1993),Drama|Horror,atmospheric,good
204,588,128,3.5,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,adventure,good
205,750,128,4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,comedy,excellent
206,750,128,4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,cold war,excellent
207,750,128,4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,classic,excellent
208,750,128,4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,based on a book,excellent
209,1079,128,3.5,Fish Called Wanda, A (1988),silly,good
210,1079,128,3.5,Fish Called Wanda, A (1988),robbery,good
211,1079,128,3.5,Fish Called Wanda, A (1988),quirky,good
212,1079,128,3.5,Fish Called Wanda, A (1988),adultery,good
213,1080,128,4.5,Monty Python's Life of Brian (1979),Comedy,silly,excellent
214,1080,128,4.5,Monty Python's Life of Brian (1979),Comedy,satire,excellent
215,1080,128,4.5,Monty Python's Life of Brian (1979),Comedy,ridiculous,excellent
216,1080,128,4.5,Monty Python's Life of Brian (1979),Comedy,Monty Python,excellent
217,1080,128,4.5,Monty Python's Life of Brian (1979),Comedy,hilarious,excellent
218,1080,128,4.5,Monty Python's Life of Brian (1979),Comedy,controversial,excellent
219,1080,128,4.5,Monty Python's Life of Brian (1979),Comedy,classic,excellent
220,1086,128,3.5,Dial M for Murder (1954),Crime|Mystery|Thriller,perfect crime,good
221,1086,128,3.5,Dial M for Murder (1954),Crime|Mystery|Thriller,investigation,good
222,1086,128,3.5,Dial M for Murder (1954),Crime|Mystery|Thriller,detective,good
223,1086,128,3.5,Dial M for Murder (1954),Crime|Mystery|Thriller,classic,good
224,1091,128,3.5,Weekend at Bernie's (1989),Comedy,stupid,good
225,1091,128,3.5,Weekend at Bernie's (1989),Comedy,silly,good
226,1091,128,3.5,Weekend at Bernie's (1989),Comedy,setup,good
227,1091,128,3.5,Weekend at Bernie's (1989),Comedy,hitman,good
228,1091,128,3.5,Weekend at Bernie's (1989),Comedy,goofy,good
229,1091,128,3.5,Weekend at Bernie's (1989),Comedy,corpse,good
230,1091,128,3.5,Weekend at Bernie's (1989),Comedy,80's,good
231,1097,128,3.5,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,emotional,good
232,1097,128,3.5,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,classic,good
233,1097,128,3.5,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,aliens,good
234,1097,128,3.5,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,alien,good
235,1127,128,4,Abyss, The (1989),Underwater,excellent
236,1127,128,4,Abyss, The (1989),Interesting,excellent
237,1127,128,4,Abyss, The (1989),aliens,excellent
238,1136,128,4.5,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,silly,excellent
239,1136,128,4.5,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,ridiculous,excellent
240,1136,128,4.5,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,Monty Python,excellent
241,1136,128,4.5,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,medieval,excellent
242,1136,128,4.5,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,imdb top 250,excellent
243,1136,128,4.5,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,hilarious,excellent
244,1136,128,4.5,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,classic,excellent
245,1175,128,3,Delicatessen (1991),Comedy|Drama|Romance,stylized,good
246,1175,128,3,Delicatessen (1991),Comedy|Drama|Romance,story-in-a-story,good
247,1175,128,3,Delicatessen (1991),Comedy|Drama|Romance,side story,good
248,1175,128,3,Delicatessen (1991),Comedy|Drama|Romance,quirky,good
249,1175,128,3,Delicatessen (1991),Comedy|Drama|Romance,dystopia,good
250,1175,128,3,Delicatessen (1991),Comedy|Drama|Romance,dark humor,good
251,1175,128,3,Delicatessen (1991),Comedy|Drama|Romance,cannibalism,good
252,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,surreal,good
253,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,sci-fi,good
254,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,Robert De Niro,good
255,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,quirky,good
256,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,futuristic,good
257,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,dystopia,good
258,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,dreams,good
259,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,bureaucracy,good
260,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,atmospheric,good
261,1199,128,3,Brazil (1985),Fantasy|Sci-Fi,absurd,good
262,1200,128,4,Aliens (1986),Action|Adventure|Horror|Sci-Fi,suspense,excellent
263,1200,128,4,Aliens (1986),Action|Adventure|Horror|Sci-Fi,sequel,excellent
264,1200,128,4,Aliens (1986),Action|Adventure|Horror|Sci-Fi,imdb top 250,excellent
265,1200,128,4,Aliens (1986),Action|Adventure|Horror|Sci-Fi,atmospheric,excellent
266,1200,128,4,Aliens (1986),Action|Adventure|Horror|Sci-Fi,aliens,excellent
267,1203,128,4,12 Angry Men (1957),Drama,social commentary,excellent
268,1203,128,4,12 Angry Men (1957),Drama,rationality,excellent
269,1203,128,4,12 Angry Men (1957),Drama,prejudice,excellent
270,1203,128,4,12 Angry Men (1957),Drama,miscarriage of justice,excellent
271,1203,128,4,12 Angry Men (1957),Drama,low budget,excellent
272,1203,128,4,12 Angry Men (1957),Drama,individualism,excellent
273,1203,128,4,12 Angry Men (1957),Drama,ethnic conflict,excellent
274,1203,128,4,12 Angry Men (1957),Drama,courtroom,excellent
275,1203,128,4,12 Angry Men (1957),Drama,confrontational,excellent
276,1203,128,4,12 Angry Men (1957),Drama,classic,excellent
277,1204,128,4,Lawrence of Arabia (1962),Adventure|Drama|War,World War I,excellent
278,1204,128,4,Lawrence of Arabia (1962),Adventure|Drama|War,War,excellent
279,1204,128,4,Lawrence of Arabia (1962),Adventure|Drama|War,scenic,excellent
280,1204,128,4,Lawrence of Arabia (1962),Adventure|Drama|War,Middle East,excellent
281,1204,128,4,Lawrence of Arabia (1962),Adventure|Drama|War,desert,excellent
282,1204,128,4,Lawrence of Arabia (1962),Adventure|Drama|War,biographical,excellent
283,1204,128,4,Lawrence of Arabia (1962),Adventure|Drama|War,atmospheric,excellent
284,1214,128,4,Alien (1979),Horror|Sci-Fi,suspense,excellent
285,1214,128,4,Alien (1979),Horror|Sci-Fi,imdb top 250,excellent
286,1214,128,4,Alien (1979),Horror|Sci-Fi,atmospheric,excellent
287,1214,128,4,Alien (1979),Horror|Sci-Fi,aliens,excellent
288,1219,128,3,Psycho (1960),Crime|Horror,murder,good
289,1219,128,3,Psycho (1960),Crime|Horror,mental illness,good
290,1219,128,3,Psycho (1960),Crime|Horror,classic,good
291,1219,128,3,Psycho (1960),Crime|Horror,black and white,good
292,1234,128,4,Sting, The (1973),soundtrack,excellent
293,1234,128,4,Sting, The (1973),revenge,excellent
294,1234,128,4,Sting, The (1973),poker,excellent
295,1234,128,4,Sting, The (1973),organized crime,excellent
296,1234,128,4,Sting, The (1973),murder,excellent
297,1234,128,4,Sting, The (1973),gambling,excellent
298,1234,128,4,Sting, The (1973),FBI,excellent
299,1234,128,4,Sting, The (1973),depression-era,excellent
300,1234,128,4,Sting, The (1973),crime,excellent
301,1234,128,4,Sting, The (1973),con artists,excellent
302,1234,128,4,Sting, The (1973),con,excellent
303,1234,128,4,Sting, The (1973),Chicago,excellent
304,1234,128,4,Sting, The (1973),1930s,excellent
305,1237,128,3.5,Seventh Seal, The (Sjunde inseglet,theatrical acting,good
306,1237,128,3.5,Seventh Seal, The (Sjunde inseglet,medieval,good
307,1237,128,3.5,Seventh Seal, The (Sjunde inseglet,grim reaper,good
308,1237,128,3.5,Seventh Seal, The (Sjunde inseglet,existentialism,good
309,1237,128,3.5,Seventh Seal, The (Sjunde inseglet,death,good
310,1237,128,3.5,Seventh Seal, The (Sjunde inseglet,chess,good
311,1237,128,3.5,Seventh Seal, The (Sjunde inseglet,afterlife,good
312,1243,128,4,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,Tim Roth,excellent
313,1243,128,4,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,surreal,excellent
314,1243,128,4,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,quirky,excellent
315,1243,128,4,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,humorous,excellent
316,1243,128,4,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,Gary Oldman,excellent
317,1243,128,4,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,based on a play,excellent
318,1243,128,4,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,absurd,excellent
319,1246,128,4,Dead Poets Society (1989),Drama,suicide,excellent
320,1246,128,4,Dead Poets Society (1989),Drama,heartbreaking,excellent
321,1246,128,4,Dead Poets Society (1989),Drama,friendship,excellent
322,1246,128,4,Dead Poets Society (1989),Drama,boarding school,excellent
323,1246,128,4,Dead Poets Society (1989),Drama,bittersweet,excellent
324,1259,128,4,Stand by Me (1986),Adventure|Drama,Stephen King,excellent
325,1259,128,4,Stand by Me (1986),Adventure|Drama,poignant,excellent
326,1259,128,4,Stand by Me (1986),Adventure|Drama,nostalgic,excellent
327,1259,128,4,Stand by Me (1986),Adventure|Drama,hiking,excellent
328,1259,128,4,Stand by Me (1986),Adventure|Drama,friendship,excellent
329,1259,128,4,Stand by Me (1986),Adventure|Drama,coming of age,excellent
330,1259,128,4,Stand by Me (1986),Adventure|Drama,cliche,excellent
331,1259,128,4,Stand by Me (1986),Adventure|Drama,classic,excellent
332,1259,128,4,Stand by Me (1986),Adventure|Drama,childhood,excellent
333,1259,128,4,Stand by Me (1986),Adventure|Drama,cheesy,excellent
334,1259,128,4,Stand by Me (1986),Adventure|Drama,1960s,excellent
335,1259,128,4,Stand by Me (1986),Adventure|Drama,1950s,excellent
336,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,whimsical,excellent
337,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,time travel,excellent
338,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,sci-fi,excellent
339,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,quirky,excellent
340,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,comedy,excellent
341,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,clever,excellent
342,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,Christopher Lloyd,excellent
343,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,alternate reality,excellent
344,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,1980s,excellent
345,1270,128,4,Back to the Future (1985),Adventure|Comedy|Sci-Fi,1950s,excellent
346,1303,128,4,Man Who Would Be King, The (1975),warlord,excellent
347,1303,128,4,Man Who Would Be King, The (1975),war,excellent
348,1303,128,4,Man Who Would Be King, The (1975),soldiers,excellent
349,1303,128,4,Man Who Would Be King, The (1975),slow start,excellent
350,1303,128,4,Man Who Would Be King, The (1975),natives,excellent
351,1303,128,4,Man Who Would Be King, The (1975),journalist,excellent
352,1303,128,4,Man Who Would Be King, The (1975),India,excellent
353,1303,128,4,Man Who Would Be King, The (1975),freemason,excellent
354,1303,128,4,Man Who Would Be King, The (1975),exploration,excellent
355,1303,128,4,Man Who Would Be King, The (1975),culture clash,excellent
356,1303,128,4,Man Who Would Be King, The (1975),colonialism,excellent
357,1303,128,4,Man Who Would Be King, The (1975),Afghanistan,excellent
358,1303,128,4,Man Who Would Be King, The (1975),adventure,excellent
